BusinessId,BusinessName,CategoryId,BusinessDescription,BusinessSlug,Tagline,AboutBrief,Description,Vision,WhyChooseUs,Address1,City,State,Country,Pincode,Landmark
AE02F339-5597-4771-BF6C-00C68D760535,SHRI BALAJI ELECTRONICS,25DA2785-F824-4C17-877A-3A80DC04776A,"<h2><em>SHRI BALAJI ELECTRONICS</em></h2><h3><em>Router, Cables &amp; Networking Devices</em></h3><p><br></p><p><strong><em>SHRI BALAJI ELECTRONICS</em></strong><em> is a reliable supplier and distributor of high-quality </em><strong><em>Routers, Cables &amp; Networking Devices</em></strong><em>. We specialize in providing advanced networking solutions for homes, offices, institutions, and commercial establishments.</em></p><p><br></p><h3><em>Powering Connections with Reliable Networking Solutions</em></h3><p><br></p><h2><em>Our Product Range</em></h2><p><em>We offer a wide range of networking products, including:</em></p><p><em>Wi-Fi Routers</em></p><p><em>Modems</em></p><p><em>LAN Cables (Cat5, Cat6, Cat7)</em></p><p><em>Fiber Optic Cables</em></p><p><br></p><h2><em>Why Choose Us</em></h2><p><em>✔ Genuine &amp; Quality Assured Products</em></p><p><em> ✔ Latest Technology Devices</em></p><p><em> ✔ Competitive Pricing</em></p><p><br></p><h2><em>Quality Assurance</em></h2><p><em>Quality and performance are our top priorities. We ensure:</em></p><p><em>High-Speed Data Transmission</em></p><p><em>Durable &amp; Safe Cables</em></p><p><br></p><h2><em>Our Vision</em></h2><p><em>To become a trusted and leading supplier of networking devices by providing innovative, reliable, and cost-effective connectivity solutions.</em></p><p><br></p><p><em>SHRI BALAJI ELECTRONICS is dedicated to delivering strong, secure, and efficient networking solutions that keep you connected. We aim to support businesses and individuals with reliable products that power digital growth.</em></p><p><br></p><p><br></p><p><br></p><p><br></p>","shri-balaji-electronics-kolkata,-61-ganesh-chandra-avenu,-kol-13-kolkata",,,,,,"Ground and 1st Floor, 61, Under Police Station, Ganesh Chandra Avenue, Kolkata",KOLKATA,West Bengal,India,700013.0,"Kolkata,  61 Ganesh Chandra Avenu, kol- 13"
E7A16C38-D6B1-4D37-BAC2-02808A014A84,B P TRADING CO,429C2201-799F-4448-89F5-16D9D5A12D80,"<h3><em>B P TRADING CO</em></h3><p><strong>B P Trading Co is a trusted name in the field of material lifting and material handling solutions, specializing in Chain Pulley Blocks, Hoists, Winches and all other types of line tackles and safety items. With a strong focus on quality, safety, and performance, we cater to the diverse needs of industrial, automotive, construction, and commercial sectors.</strong></p><p><br></p><h4>Our Product Range</h4><p>CHAIN PULLEY BLOCKS</p><p>HOISTS</p><p>WINCH</p><p>D- SHACKLES</p><p>BOTTLESCREW/ TURNBUCKLES</p><p>WIRE ROPES / PP ROPES / NYLON ROPES/ SAFETY NET</p><p>ALL TYPES OF CLAMPS</p><p>HOUSE OF CHAINS</p><p>ROPE SLING/ BELT SLING</p><p>ALL TYPES OF TRANSMISSION AND SAFETY ITEMS AND MANY MORE</p><p><br></p><h4>Why Choose B P Trading Co</h4><p>Reliable and ONE STOP solution to all your lifting problems</p><p>High load-bearing capacity with safety assurance</p><p>Competitive pricing with consistent quality</p><p><br></p><p><strong>At B P Trading Co, customer satisfaction is our top priority. We assure our clients of genuine products, consistent performance, and dependable service support. Every product we supply undergoes strict quality checks to ensure safety, strength, and operational efficiency.</strong></p><p><strong>With a growing reputation for reliability and professionalism, B P Trading Co continues to be a preferred supplier for hydraulic jacks, lifts, and winches. We strive to build long-term relationships by delivering quality products, technical confidence, and service excellence, making us a dependable partner for all lifting needs.</strong></p>","b-p-trading-co-barabajar-,kolkata-kolkata",,,,,,"4th, 75, N.S.ROAD, KOLKATA",KOLKATA,West Bengal,India,700001.0,"Barabajar ,kolkata "
0B419F36-5AF1-4DAF-AF26-02F4878510DA,Allied Sales Corporation,0FDA2EBF-FDBB-4E05-84B9-4768A2B8C56B,"<p><strong>At&nbsp;Allied&nbsp;Sales&nbsp;Corporation,&nbsp;we&nbsp;believe&nbsp;that&nbsp;strong&nbsp;welds&nbsp;build&nbsp;strong&nbsp;foundations.&nbsp;Our&nbsp;dedication&nbsp;to&nbsp;quality,&nbsp;reliability,&nbsp;and&nbsp;customer&nbsp;satisfaction&nbsp;makes&nbsp;us&nbsp;a&nbsp;preferred&nbsp;partner&nbsp;for&nbsp;all&nbsp;welding&nbsp;needs.&nbsp;We&nbsp;strive&nbsp;to&nbsp;grow&nbsp;with&nbsp;our&nbsp;customers&nbsp;by&nbsp;providing&nbsp;dependable&nbsp;products&nbsp;that&nbsp;power&nbsp;productivity,&nbsp;precision,&nbsp;and&nbsp;progress.</strong></p><h2></h2><h2></h2>",allied-sales-corporation-welding-rods-electrodes-wires-model-house-kolkata,"Trusted Welding Solutions for Stronger Joints, Greater Strength & Reliability","Supplier of welding rods, electrodes, and welding wires for industrial, fabrication, construction, and engineering applications.","ALLIED SALES CORPORATION is a trusted supplier of welding rods, welding electrodes, and welding wires for industrial, commercial, and fabrication needs. Our products deliver strong weld joints, consistent performance, and reliable results across construction, engineering, automotive, maintenance, and manufacturing applications.",To be a preferred provider of reliable and high-performance welding solutions.,Assured Quality Welding Products,"Ground Floor, 40, Strand Road. Shop 73., Kolkata",KOLKATA,West Bengal,India,700001.0,MODEL HOUSE
Wide Range of Welding Solutions,,,,,,,,,,,,,,,
Competitive Market Pricing,,,,,,,,,,,,,,,
Timely Supply & Delivery,1,,,,,,,,,,,,,,
47F578FF-251D-41C4-928C-036E7BB5C68F,Hari Har Industries,9907F86D-1AC9-4AFC-9137-3E97BC8A542B,"<h3><strong><em>Hari Har Industries</em></strong></h3><p><strong>Hari Har Industries is a trusted name in industrial surface protection and coating solutions, delivering high-performance services that enhance durability, safety, and longevity of structures and equipment. With a strong focus on quality, precision, and customer satisfaction, we specialize in advanced coating technologies tailored to meet diverse industrial requirements.</strong></p><p><br></p><h4><strong><em>Our Expertise</em></strong></h4><p><strong>Epoxy Coatings</strong></p><p><strong>FRP Lining</strong></p><p><strong>PU Coatings</strong></p><p><strong>Powder Coatings</strong></p><p><br></p><h4><strong><em>Why Choose Hari Har Industries :</em></strong></h4><p><strong>High-quality materials and proven coating systems</strong></p><p><strong>Skilled workforce and professional execution</strong></p><p><strong>Customized solutions for industrial applications</strong></p><p><strong>Strong focus on safety, durability, and performance</strong></p><p><strong>Timely project completion and reliable service</strong></p><p><br></p><p><strong>At Hari Har Industries, we are committed to protecting surfaces and strengthening structures through innovative coating solutions. Our dedication to quality workmanship, technical expertise, and customer trust makes us a preferred partner for Epoxy, FRP Lining, PU, and Powder Coating services. </strong></p>",hari-har-industries-karnal,,,,,,"PLOT NO. 51 SECTOR 3, HSIIDC",KARNAL,Haryana,India,132001.0,
7B0D7525-57B2-43ED-8320-03BB2CAEA54E,OM TECH,1578F70E-B915-4C1B-976C-59641A0944D2,"<h2><strong><em>OM TECH</em></strong></h2><p><br></p><p><strong><em>OM TECH</em></strong><em> is a trusted name in the field of </em><strong><em>Mobile Phone &amp; Accessories</em></strong><em>, offering a wide range of high-quality mobile products designed to meet the evolving needs of today’s digital lifestyle. We are committed to providing reliable, stylish, and affordable mobile solutions for customers across retail and wholesale markets.</em></p><p><br></p><p><em>With a strong focus on quality, innovation, and customer satisfaction, OM TECH ensures that every product delivers performance, durability, and value. Our collection includes the latest accessories that enhance convenience, connectivity, and protection for mobile devices.</em></p><p><br></p><h2><strong><em>Our Product Range</em></strong></h2><p><em>Mobile Phones</em></p><p><em>Smartphone Accessories</em></p><p><em>Chargers &amp; Fast Chargers</em></p><p><em>Data Cables</em></p><p><em>Power Banks</em></p><p><em>Earphones &amp; Headphones</em></p><p><br></p><h2><strong><em>Why Choose OM TECH?</em></strong></h2><p><em>✔ Wide Range of Latest Products</em></p><p><em> ✔ Assured Quality &amp; Performance</em></p><p><em> ✔ Competitive Pricing</em></p><p><em> ✔ Bulk Availability for Retailers</em></p><p><br></p><h2><strong><em>Quality Commitment</em></strong></h2><p><em>At OM TECH, we ensure that all products undergo strict quality checks for durability, compatibility, and safety standards. Our aim is to deliver reliable accessories that provide long-lasting performance and customer satisfaction.</em></p><p><br></p><h2><strong><em>Our Vision</em></strong></h2><p><em>To become a preferred supplier in the mobile accessories market by offering innovative products, competitive pricing, and dependable service.</em></p><p><br></p><h3><strong><em>OM TECH – Powering Your Digital World.</em></strong></h3>","om-tech-kolkata,-khidirpur-market-kolkata",,,,,,"5, DENT MISSION ROAD, KOLKATA",KOLKATA,West Bengal,India,700023.0,"Kolkata, Khidirpur Market"
77B19704-5060-4455-BC42-06D2F1940E40,A R ENGINEERING WORKS,DC75A682-A42E-49CC-9DC5-AF73998F01A3,"<h2><strong><em>A R Engineering</em></strong></h2><p><strong>A R Engineering Work is a trusted manufacturer and supplier of PVC, FRP, HDPE, and other industrial plastic pipes, offering durable, high-performance piping solutions for a wide range of industrial, commercial, and infrastructure applications. Our products are engineered to meet industry standards and are known for their strength, corrosion resistance, and long service life.</strong></p><p><br></p><h2><strong><em>Our Product Range </em></strong></h2><p><strong><u>PVC Pipes</u> – Lightweight, corrosion-resistant, and cost-effective for industrial use</strong></p><p><strong><u>FRP Pipes</u> – High strength, chemical-resistant pipes for harsh environments</strong></p><p><strong><u>HDPE Pipes </u>– Flexible, impact-resistant, and ideal for pressure applications</strong></p><p><strong><u>Other Industrial Plastic Pipes</u> – Customized solutions for specialized requirements</strong></p><p><br></p><h2><strong><em>Why Choose A R Engineering </em></strong></h2><p><strong>Superior quality materials and strict quality control</strong></p><p><strong>Wide range of industrial plastic piping solutions</strong></p><p><strong>Reliable supply and timely delivery</strong></p><p><strong>Customized solutions as per project requirements</strong></p><p><strong>Commitment to customer satisfaction and long-term partnerships</strong></p><p><br></p><p><strong>A R Engineering Work is committed to delivering quality-assured plastic piping solutions that ensure reliability, efficiency, and customer satisfaction. Our focus on precision manufacturing and timely delivery makes us a preferred choice in the industrial piping sector.</strong></p>",a-r-engineering-works-barabajar-kolkata,,,,,,"8, RAJA WOODMUNT STREET , KOLKATA",KOLKATA,West Bengal,India,700001.0,BARABAJAR
98DD8DBA-E344-4C8B-A735-09E22C14A081,NATIONAL  CHAIN  CORPORATION,53F667AC-6B54-4D1A-B69A-B0684ED2A8B2,"<h2><strong><em>NATIONAL&nbsp;CHAIN&nbsp;CORPORATION</em></strong></h2><p></p><p></p><p><strong><em>NATIONAL&nbsp;CHAIN&nbsp;CORPORATION</em></strong><em>&nbsp;is&nbsp;a&nbsp;trusted&nbsp;manufacturer&nbsp;and&nbsp;supplier&nbsp;of&nbsp;high-performance&nbsp;</em><strong><em>Roller&nbsp;Chain,&nbsp;Chain&nbsp;Sprocket,&nbsp;Chain&nbsp;Pulley&nbsp;Block&nbsp;and&nbsp;other&nbsp;Lifting&nbsp;Equipments</em></strong><em>,&nbsp;delivering&nbsp;strength,&nbsp;safety,&nbsp;and&nbsp;reliability&nbsp;to&nbsp;various&nbsp;industrial&nbsp;sectors.&nbsp;With&nbsp;years&nbsp;of&nbsp;expertise&nbsp;and&nbsp;a&nbsp;commitment&nbsp;to&nbsp;engineering&nbsp;excellence,&nbsp;we&nbsp;provide&nbsp;durable&nbsp;lifting&nbsp;and&nbsp;material&nbsp;handling&nbsp;solutions&nbsp;designed&nbsp;to&nbsp;perform&nbsp;in&nbsp;demanding&nbsp;environments.</em></p><p></p><h2><strong><em>Product&nbsp;Range</em></strong></h2><p><em>We&nbsp;offer&nbsp;a&nbsp;comprehensive&nbsp;range&nbsp;of&nbsp;</em><strong><em>Roller&nbsp;chain,&nbsp;Sprocket&nbsp;And&nbsp;Lifting&nbsp;Equipment.</em></strong></p><p></p><h2><strong><em>Why&nbsp;Choose&nbsp;Us</em></strong></h2><p><em>✔&nbsp;Robust&nbsp;&amp;&nbsp;Durable&nbsp;Equipment</em></p><p><em>&nbsp;✔&nbsp;Precision&nbsp;Engineering</em></p><p><em>&nbsp;✔&nbsp;Strict&nbsp;Quality&nbsp;Control</em></p><p><em>&nbsp;✔&nbsp;Competitive&nbsp;Pricing</em></p><p></p><h2><strong><em>Quality&nbsp;Assurance</em></strong></h2><p><em>At&nbsp;NATIONAL&nbsp;CHAIN&nbsp;CORPORATION,&nbsp;quality&nbsp;is&nbsp;the&nbsp;backbone&nbsp;of&nbsp;our&nbsp;operations.&nbsp;Our&nbsp;products&nbsp;undergo:</em></p><p><em>Load&nbsp;testing&nbsp;&amp;&nbsp;safety&nbsp;checks</em></p><p><em>Material&nbsp;strength&nbsp;testing</em></p><p></p><p></p>","national-chain-corporation-69a,-n-s.-road,-ground-floor-kolkata-700001-kolkata",,,,,,"69A, N.S. Road, Ground Floor, Kolkata - 700001", KOLKATA,West Bengal,India,700001.0,"69A, N S. Road, Ground Floor Kolkata - 700001"
